id,FirstName,Money,LastName
149,Maria,33.87,Grant
150,Randy,498.25,Hansen
151,Phillip,501.26,Roberts
152,Terry,884.12,Campbell
153,Lois,678.57,Pierce
154,Mark,197.39,Fox
155,Katherine,825.65,Peters
156,Donald,324.00,Barnes
157,Doris,122.15,Morgan
158,Willie,879.85,Olson
159,Kelly,74.48,Ross
160,Charles,793.21,Fernandez
161,Richard,467.31,Cox
162,Terry,361.66,Cook
163,Janice,290.85,White
164,Patricia,637.54,Morales
165,Todd,508.89,Jones
166,Ann,873.70,Henderson
167,Lawrence,620.23,Palmer
168,Kelly,874.35,Meyer
169,Ruth,429.28,Taylor
170,Carlos,31.79,Burns
171,Joshua,878.00,Mills
172,Angela,199.91,Fuller
173,Marie,752.89,Burke
174,Evelyn,646.16,Hill
175,Billy,345.14,Pierce
176,Gloria,412.15,Mills
177,Bonnie,341.12,Castillo
178,Benjamin,241.55,Ford
179,Kathryn,445.32,Hayes
180,Robert,859.09,Brooks
181,Russell,729.67,Carter
182,Andrew,789.79,Cook
183,Eric,645.35,Baker
184,Charles,107.63,Weaver
185,Evelyn,149.76,Ortiz
186,Thomas,257.14,Torres
187,Juan,589.03,Wright
188,Nancy,492.81,Collins
189,Clarence,868.41,Arnold
190,Jonathan,601.67,Black
191,Randy,772.32,Turner
192,Laura,519.55,Gutierrez
193,Bonnie,913.75,Stewart
194,Ryan,796.93,Jacobs
195,Karen,219.52,Griffin
196,Christine,24.26,Mcdonald
197,Nicole,892.42,Berry
198,Judith,888.97,Baker
199,Alan,444.21,Mccoy
200,Kenneth,993.26,Scott
201,Lori,71.50,Mills
202,Paula,269.79,Rice
203,Heather,763.98,Jackson
204,Michael,708.05,Harrison
205,Elizabeth,952.62,Greene
206,Aaron,884.75,Kim
207,Peter,795.35,Richards
208,Louise,312.76,Johnston
209,Frances,623.42,Stephens
210,Frances,176.67,Webb
211,Gloria,346.46,Bennett
212,Teresa,404.36,Austin
213,Timothy,503.05,Dunn
214,Terry,437.15,Lane
215,Gregory,750.68,Rodriguez
216,Andrea,771.08,Spencer
217,Michael,785.82,Rodriguez
218,Barbara,379.14,Green
219,Marie,766.63,Reyes
220,Phyllis,836.62,Mills
221,Margaret,278.04,Marshall
222,Dennis,340.38,Bowman
223,Maria,229.58,Ross
224,Gerald,783.11,Simpson
225,Dennis,270.67,Mcdonald
226,Michelle,518.72,Perry
227,Eric,428.19,Daniels
228,Joseph,633.15,Brown
229,Lori,915.60,Bradley
230,Sean,488.74,Wright
231,Brandon,437.09,Stevens
232,Ruth,140.35,Stewart
233,Fred,563.10,Barnes
234,Theresa,863.87,Shaw
235,Diana,517.64,Woods
236,Bonnie,442.02,Ross
237,Todd,904.71,Allen
238,Rachel,53.26,Murray
239,Eugene,445.45,Lee
240,Rebecca,790.31,Chavez
241,Marilyn,586.38,Pierce
242,Jennifer,484.52,Martinez
243,Joyce,767.68,Fowler
244,Nancy,900.81,Wells
245,Samuel,31.44,Wheeler
246,Kevin,473.47,Olson
247,Anna,420.63,Dunn
248,Virginia,7.76,Perez
249,Jerry,600.67,Gomez
250,Lori,541.00,Moore
251,Nicole,48.93,Phillips
252,Fred,46.48,Crawford
253,Mary,140.32,Spencer
254,Maria,873.41,Perkins
255,Steven,490.66,Bishop
256,Jean,335.72,Chapman
257,Justin,170.04,Rivera
258,Jennifer,382.09,Pierce
259,Cheryl,893.87,Hicks
260,Johnny,371.62,Cook
261,Andrew,950.35,Thomas
262,Laura,334.29,Alexander
263,Patrick,116.79,Barnes
264,Brian,679.17,Duncan
265,Jonathan,452.82,Anderson
266,Jimmy,23.89,Scott
267,Kimberly,945.32,Thompson
268,Kenneth,760.30,Robinson
269,Denise,940.78,Kennedy
270,Ruth,463.37,Ramirez
271,Anthony,314.39,Williamson
272,Sharon,350.59,Nguyen
273,Larry,256.27,Rice
274,Peter,941.21,Fernandez
275,Steven,944.16,Hart
276,Dorothy,803.53,Chapman
277,Paul,596.80,Coleman
278,Kelly,36.96,Powell
279,Janet,410.46,Simmons
280,William,615.56,Carpenter
281,Carolyn,761.78,Fields
282,Nicole,54.69,Jacobs
283,Denise,480.87,Williamson
284,Robert,939.77,Wood
285,Louise,682.68,Davis
286,Shirley,882.44,Black
287,Walter,273.33,Lewis
288,Norma,801.70,Stevens
289,Albert,172.19,Bell
290,Nancy,223.60,Carroll
291,Doris,27.36,Wagner
292,Jason,553.79,Jones
293,Thomas,834.68,Nguyen
294,Joe,829.05,Nguyen
295,Debra,382.92,Hayes
296,Carol,143.01,Morgan
297,Fred,262.62,Carr
298,Henry,419.95,Franklin
299,Henry,558.80,Williams
300,Carl,283.33,Thompson
301,Patrick,50.73,Williamson
302,Jimmy,780.40,Powell
303,Joshua,332.74,Gonzales
304,Charles,299.39,Hansen
305,Edward,208.90,Rice
306,Teresa,59.04,Kim
307,Willie,565.26,Diaz
308,Kathryn,56.89,James
309,Andrew,747.31,Price
310,Helen,790.87,Graham
311,Kenneth,871.09,Wells
312,Roger,564.18,Rogers
313,Gloria,706.94,Hughes
314,Jonathan,331.89,Butler
315,Gerald,304.45,Stone
316,Jonathan,229.44,Lane
317,Jonathan,810.47,Hall
318,Juan,736.88,Jackson
319,Sara,796.73,King
320,Louis,99.51,Robinson
321,Anna,357.08,Harris
322,Bonnie,118.54,Bradley
323,Henry,923.35,King
324,Robert,689.20,Cunningham
325,Nicole,716.42,Richardson
326,Janet,870.60,Henderson
327,Lois,387.48,Ray
328,Joan,557.08,Richardson
329,Nancy,915.96,Knight
330,Gary,784.70,Larson
331,Katherine,574.46,Thompson
332,Donna,302.13,Howard
333,Roy,885.88,Arnold
334,Roy,814.27,Harrison
335,Sarah,541.25,Schmidt
336,Angela,595.55,Rose
337,James,529.03,Burton
338,Diane,707.87,Richardson
339,Robin,74.01,Jordan
340,Tina,538.58,Olson
341,Ernest,392.37,Austin
342,Louis,956.18,Nelson
343,Cheryl,945.53,Ray
344,Thomas,76.59,Bryant
345,Lillian,519.93,Carroll
346,Lawrence,214.50,Frazier
347,Phyllis,288.95,Weaver
348,Peter,957.59,Martin
349,Diane,616.06,Russell
350,Robert,479.70,Jordan
351,Ryan,550.59,Mills
352,Karen,864.61,Russell
353,Jimmy,56.17,Tucker
354,Lawrence,795.72,Cunningham
355,Dorothy,254.22,Green
356,Christine,978.76,Rodriguez
357,Nicholas,927.41,Cruz
358,Gary,838.90,Harrison
359,Lisa,266.11,Freeman
360,Henry,414.11,Alvarez
361,Steven,365.46,Kelley
362,Roy,549.04,Kennedy
363,Robert,688.92,Powell
364,Lois,757.18,Larson
365,Judy,73.64,Harvey
366,Patricia,403.26,Matthews
367,Edward,494.02,Gonzales
368,Jesse,68.61,Hansen
369,Carlos,28.86,Larson
370,Mildred,961.23,Porter
371,Adam,634.83,Stanley
372,Jean,949.23,Black
373,James,700.08,Adams
374,Ernest,618.78,Day
375,Karen,42.81,Perry
376,Christina,980.24,Fuller
377,Tammy,28.72,Lopez
378,Ralph,306.24,James
379,Daniel,85.35,Greene
380,Samuel,329.72,Fuller
381,Joyce,681.09,Parker
382,Rachel,78.46,Gardner
383,Harold,153.51,West
384,Justin,105.67,Stone
385,Anne,877.21,Clark
386,Richard,727.88,Black
387,Ashley,686.99,Castillo
388,Betty,782.59,Butler
389,Ryan,511.25,Brown
390,Ryan,81.44,Wagner
391,Pamela,873.33,Ross
392,Martin,575.69,Stanley
393,Martha,33.34,Hart
394,Diane,336.57,Johnston
395,Tammy,453.47,Perry
396,Judy,201.02,Willis
397,Ronald,220.53,Kennedy
398,Shawn,364.60,Knight
399,Mildred,208.94,Holmes
400,Kathleen,956.86,Rodriguez
401,Antonio,274.23,Matthews
402,Albert,551.21,Pierce
403,Carol,429.12,Matthews
404,Jennifer,867.51,Miller
405,Tina,253.00,Chapman
406,Billy,949.15,Allen
407,Chris,110.61,Morgan
408,Martha,44.63,Burke
409,Keith,675.07,Morgan
410,Jerry,932.21,Patterson
411,Ralph,394.86,Hill
412,Benjamin,157.96,Garrett
413,Laura,554.89,Smith
414,Jeremy,965.53,West
415,Judith,245.87,Fisher
416,Irene,60.39,Woods
417,Antonio,646.36,Arnold
418,Irene,417.11,Stone
419,Richard,367.65,Ross
420,Joe,306.93,Carter
421,Diane,275.10,Lynch
422,Nicole,740.55,Powell
423,Tammy,672.76,Payne
424,Martin,447.44,Kelly
425,Rachel,320.72,Bishop
426,Rachel,585.49,Stephens
427,Donald,363.17,Roberts
428,Patricia,84.19,Stephens
429,Albert,50.64,Carpenter
430,Eric,236.79,Allen
431,Susan,542.77,Murray
432,Raymond,297.65,Ray
433,Wayne,100.33,Perkins
434,Diana,35.82,Flores
435,Karen,266.65,Griffin
436,Shawn,880.88,Kelly
437,Charles,311.57,Freeman
438,Walter,322.17,Hawkins
439,Norma,550.88,Cunningham
440,Howard,409.12,Webb
441,Russell,248.62,Green
442,Jeffrey,680.11,Gonzales
443,Laura,948.71,Howard
444,Martha,29.19,Rivera
445,Steven,664.07,Powell
446,Jose,484.61,Hanson
447,Katherine,419.77,Owens
448,Angela,595.58,Sanders
449,Todd,73.32,Thompson
450,Rachel,623.19,Patterson
451,Martha,654.35,Crawford
452,Wanda,856.27,Bowman
453,Kathleen,961.01,Wells
454,Jimmy,698.98,Hughes
455,Lisa,878.55,Harper
456,Benjamin,763.74,Gilbert
457,Janice,336.00,Snyder
458,Jessica,760.34,Fox
459,Albert,152.18,Wallace
460,Diane,303.21,Flores
461,Gregory,493.17,Morales
462,Johnny,52.46,Welch
463,Ashley,557.91,Armstrong
464,Nancy,845.98,Chapman
465,Deborah,456.79,Richardson
466,Jeremy,125.52,Johnston
467,Ernest,332.30,Dean
468,Linda,12.75,Kelly
469,Janet,366.57,Myers
470,Louis,571.34,Kim
471,Roger,270.22,Miller
472,Roy,539.02,Nguyen
473,Joshua,635.55,Wallace
474,Amanda,645.76,Wood
475,Craig,369.56,Berry
476,Stephanie,700.41,Ward
477,Joseph,544.69,Alvarez
478,Ralph,446.33,Davis
479,Antonio,423.96,Howell
480,Ralph,579.95,Simmons
481,Cynthia,254.94,Simpson
482,Roger,345.68,Jordan
483,Lillian,235.62,Walker
484,Lori,217.26,Taylor
485,Ruth,622.72,Wallace
486,Janice,1.95,Henry
487,Amanda,297.05,Gibson
488,Thomas,222.31,Peterson
489,Andrea,331.11,Simmons
490,Rachel,194.17,Wood
491,Ruth,260.92,Smith
492,Sean,990.73,Lee
493,David,195.60,Miller
494,Donna,592.59,Mills
495,Raymond,105.97,Roberts
496,Carlos,102.36,Johnston
497,Janet,731.14,Andrews
498,Alice,691.70,Martin
499,Janice,91.40,Mcdonald
500,Albert,113.84,Brown
501,Richard,115.30,Watkins
502,Fred,9.26,Ferguson
503,Kimberly,677.59,Schmidt
504,Jane,132.75,Coleman
505,Paul,982.90,Romero
506,Albert,201.26,Morris
507,Robert,12.34,Meyer
508,John,963.70,Foster
509,Carolyn,322.75,Peters
510,Douglas,486.09,Flores
511,Maria,104.28,Lawson
512,James,305.81,Robinson
513,Alice,759.39,Romero
514,Robert,868.66,Larson
515,Teresa,715.74,Palmer
516,Marilyn,475.03,Lawrence
517,Brenda,209.25,Flores
518,Eric,280.22,Gilbert
519,Julia,958.97,Perry
520,Victor,466.29,Rose
521,Earl,663.17,Bailey
522,Henry,847.46,Brown
523,Brenda,924.99,Payne
524,Randy,899.33,Phillips
525,Amanda,468.56,Flores
526,Walter,725.21,Parker
527,Scott,112.12,Wright
528,Rose,422.42,Foster
529,Gerald,32.57,Miller
530,Beverly,864.85,Larson
531,Phillip,411.91,Washington
532,Helen,535.37,Day
533,Adam,753.25,Rose
534,Christopher,18.21,Bailey
535,Louis,949.89,Price
536,Lawrence,619.85,Stevens
537,Sarah,30.77,Stewart
538,Janice,608.23,Day
539,Jeffrey,203.65,Fowler
540,Beverly,793.39,Cox
541,Doris,931.43,Gray
542,Jennifer,532.10,Lynch
543,Annie,425.15,Chavez
544,Mark,228.42,Peterson
545,Heather,52.76,Lewis
546,Maria,289.08,Dean
547,Nicole,881.66,Graham
548,Russell,845.37,Hawkins
549,Harold,619.97,Olson
550,George,799.96,Young
551,Phillip,951.17,Bishop
552,Samuel,189.45,Cox
553,Maria,565.63,Foster
554,Jonathan,69.77,Andrews
555,Jose,542.49,Allen
556,Rachel,842.62,Stanley
557,Ruth,498.55,Murray
558,Jeffrey,503.12,Henderson
559,Willie,427.09,Hernandez
560,Louise,285.08,Stanley
561,Randy,874.60,Hunter
562,Johnny,64.30,Brooks
563,Eric,525.40,Cruz
564,Richard,271.91,Hayes
565,Wayne,590.85,Turner
566,Timothy,272.64,Tucker
567,Nicholas,365.26,Bradley
568,Jack,453.64,Oliver
569,Todd,647.48,Mccoy
570,Jack,449.79,Jones
571,Joyce,397.56,Fox
572,Jesse,19.12,Anderson
573,Russell,692.37,Olson
574,Todd,142.97,Kennedy
575,Thomas,659.33,Holmes
576,Amanda,420.74,Hicks
577,Sharon,564.07,Lawson
578,Marilyn,5.86,Nelson
579,Randy,507.18,Ruiz
580,Larry,905.88,Richards
581,Evelyn,230.72,Phillips
582,Adam,914.82,Hawkins
583,Walter,897.20,Lynch
584,Joan,956.05,Banks
585,Anne,573.96,Stephens
586,Debra,653.40,Howell
587,Heather,621.08,Stewart
588,Michelle,96.22,Kim
589,Jeremy,427.64,Welch
590,Nicole,772.70,Fox
591,Carol,416.42,Ellis
592,Tammy,823.60,Lee
593,Mary,531.58,Mills
594,Tammy,13.19,Jordan
595,Justin,733.11,Mills
596,Andrea,618.17,Stone
597,Martha,979.03,Bailey
598,Arthur,193.52,Banks
599,Robin,871.45,Hart
600,Anthony,229.18,Ward
601,Alan,209.70,King
602,Jeffrey,884.07,Webb
603,Brenda,719.06,Watson
604,Justin,747.93,Williamson
605,Edward,975.43,Mitchell
606,Jose,921.95,Roberts
607,Philip,333.07,Willis
608,Sandra,122.55,Cox
609,Anna,792.14,Wilson
610,Julia,997.55,Alexander
611,Dennis,352.25,Burton
612,Doris,639.49,Jackson
613,Kathy,601.16,West
614,Lillian,63.45,Tucker
615,Randy,609.25,Gonzales
616,Charles,920.99,Bennett
617,Samuel,560.11,Fowler
618,Cynthia,918.14,Lopez
619,Brenda,118.81,Hamilton
620,Dorothy,973.21,Harper
621,Tina,885.34,Anderson
622,Brian,589.17,Spencer
623,Jimmy,45.67,Garrett
624,Elizabeth,871.49,Reed
625,Carolyn,261.01,Jacobs
626,Barbara,301.66,Jones
627,Julia,424.74,Porter
628,Kelly,862.53,Williamson
629,Jason,148.06,Frazier
630,Jeffrey,672.90,Gonzales
631,Beverly,18.49,Grant
632,Earl,914.10,Johnston
633,Tammy,368.36,Jordan
634,Marilyn,745.23,Kennedy
635,Antonio,751.66,Robertson
636,Sean,715.61,Gray
637,Beverly,491.94,Franklin
638,Ernest,292.09,Fuller
639,Michelle,339.98,Ross
640,Janice,359.34,Kim
641,Cheryl,576.81,Pierce
642,Jeremy,579.62,Sullivan
643,Clarence,594.53,Marshall
644,Stephen,74.35,Hanson
645,Maria,60.42,Burke
646,Raymond,132.93,Mason
647,James,328.68,Burns
648,Larry,329.25,Sanders
649,Brandon,106.44,Jacobs
650,Timothy,25.11,Parker
651,Jonathan,693.81,Lawson
652,Sean,337.46,Torres
653,Randy,318.30,Rivera
654,Lawrence,382.30,Hunt
655,Justin,946.75,Nelson
656,Thomas,328.94,Simmons
657,Juan,103.92,Gardner
658,Willie,865.73,Lane
659,Kevin,819.66,Kelley
660,Nicole,534.20,Payne
661,Chris,249.04,Griffin
662,Barbara,423.57,White
663,Charles,959.59,Castillo
664,Juan,367.80,Evans
665,Bonnie,379.53,Riley
666,Alan,227.40,Cruz
667,Judy,325.51,Williamson
668,Sara,671.82,Moreno
669,Annie,194.99,Stone
670,Christopher,622.97,Ellis
671,Jean,173.22,Wood
672,Brian,476.53,Bradley
673,Paula,301.63,Parker
674,Debra,249.03,Nichols
675,Robin,371.07,Collins
676,Ruth,798.10,Alexander
677,Kathleen,229.25,Oliver
678,Barbara,436.77,Little
679,William,352.65,Russell
680,Gloria,123.14,Mccoy
681,Cynthia,969.20,Peterson
682,Louise,763.50,Knight
683,Tina,303.44,Gonzalez
684,Kenneth,784.44,Parker
685,Gloria,372.38,Ramos
686,Martin,603.07,Burton
687,Ronald,277.88,Bell
688,Wanda,175.89,Peters
689,Doris,557.96,Perez
690,Norma,694.91,Coleman
691,Michelle,779.64,Carpenter
692,Heather,890.17,Jackson
693,Roger,248.39,Alexander
694,Janet,61.19,Howard
695,Diane,154.83,Harvey
696,George,812.51,Richardson
697,Marie,521.78,Williams
698,Andrew,13.46,Tucker
699,Katherine,137.42,Frazier
700,Chris,138.84,Phillips
701,Bruce,163.14,Martin
702,Andrew,468.96,Stewart
703,Karen,255.48,Turner
704,Amy,487.82,Bailey
705,John,69.41,Welch
706,Frank,25.28,Cooper
707,Ronald,490.30,Reed
708,Todd,592.77,Turner
709,Jason,292.52,Ramirez
710,Katherine,221.69,Russell
711,Gary,264.73,Jordan
712,Jimmy,292.03,Olson
713,Lori,558.73,Owens
714,Michelle,895.35,Perry
715,Kelly,490.30,Austin
716,Jack,257.21,Turner
717,Norma,467.92,Bryant
718,Ruth,0.74,Frazier
719,Margaret,29.43,Rogers
720,Henry,540.04,Cox
721,Doris,463.99,Harvey
722,Elizabeth,885.63,Hudson
723,Julie,736.93,Scott
724,Julie,754.19,Roberts
725,Theresa,101.11,Olson
726,Nancy,13.27,Oliver
727,Tina,331.09,Gibson
728,Robert,549.64,Day
729,William,349.70,West
730,Jose,87.09,Martinez
731,Eugene,67.11,James
732,Janet,915.60,Matthews
733,Steve,929.93,Carter
734,Steven,94.33,Bishop
735,Gregory,991.33,Bell
736,Jerry,172.40,Larson
737,Rebecca,175.62,Jenkins
738,Beverly,564.86,Bailey
739,Ryan,301.60,Harper
740,Patricia,101.20,Weaver
741,Ryan,228.69,Simpson
742,Janet,890.19,Frazier
743,Eugene,760.59,Little
744,Judy,343.77,Frazier
745,Arthur,555.60,Chapman
746,Antonio,336.47,Anderson
747,Tina,891.47,Smith
748,Kelly,723.28,Graham
749,Fred,773.33,Hanson
750,Arthur,684.74,Stone
751,Juan,904.38,Cox
752,Lisa,628.71,Olson
753,Barbara,183.45,Miller
754,Willie,260.30,Martin
755,Sarah,226.05,Rose
756,Katherine,263.93,Anderson
757,Robin,293.51,Oliver
758,Alice,885.22,Marshall
759,Jeffrey,772.02,Shaw
760,Melissa,305.17,Graham
761,Kimberly,886.92,Morgan
762,Janice,184.40,Diaz
763,Donna,98.66,Allen
764,Jimmy,329.24,Allen
765,Irene,896.66,Roberts
766,Jessica,808.60,Holmes
767,Lillian,884.88,Payne
768,Charles,537.45,Reid
769,Ryan,350.26,Castillo
770,Charles,238.32,Sanchez
771,Karen,250.06,Ford
772,Michelle,487.05,Gray
773,Wanda,590.30,Hernandez
774,Roger,750.06,Adams
775,Kimberly,931.84,Collins
776,Joe,291.02,Peters
777,Nancy,130.48,Rivera
778,Emily,357.16,Arnold
779,Ruby,58.19,Harvey
780,Philip,667.12,Stanley
781,Jean,227.09,Kelley
782,Brian,745.43,Cunningham
783,Carlos,637.81,Mills
784,Diana,687.95,Austin
785,Mildred,946.89,Bryant
786,Richard,637.90,Rivera
787,Alan,75.19,Johnson
788,Andrew,216.69,Black
789,Teresa,7.45,Harris
790,Jimmy,963.38,Ward
791,Carlos,545.41,Gomez
792,Gloria,516.85,Reid
793,Carolyn,264.13,Gonzalez
794,Sean,792.98,Webb
795,Susan,781.85,Vasquez
796,Chris,718.68,Allen
797,Larry,765.80,Baker
798,Bobby,402.28,Woods
799,Donald,959.46,Simmons
800,Robert,704.13,Gibson
801,Donald,236.29,King
802,Sandra,103.76,Richardson
803,Janice,400.47,Burke
804,Donna,465.34,Meyer
805,Johnny,571.15,Fernandez
806,Norma,92.92,Cooper
807,Jerry,552.85,Walker
808,Stephen,749.83,Warren
809,Andrea,755.13,Murphy
810,Heather,218.17,Bishop
811,Lois,896.12,Lawrence
812,Cheryl,815.06,Armstrong
813,Barbara,20.18,Day
814,Jean,108.01,Parker
815,Wayne,362.44,Gibson
816,Denise,511.55,Dean
817,Pamela,557.75,Hansen
818,Annie,331.92,Sanders
819,Robin,167.51,Griffin
820,Dorothy,336.99,Carter
821,Annie,979.10,Harrison
822,Henry,849.61,Morgan
823,Dennis,759.08,Torres
824,Juan,17.99,Watkins
825,Raymond,188.15,Medina
826,Karen,769.01,Gordon
827,Adam,448.12,Burton
828,Norma,928.41,Rogers
829,Jacqueline,567.65,Perry
830,Jonathan,430.84,Moreno
831,Betty,687.98,Bradley
832,Roy,714.65,Bennett
833,Earl,264.30,Moreno
834,Benjamin,559.41,Stevens
835,Evelyn,280.42,Meyer
836,Jean,555.12,Spencer
837,Jennifer,152.39,Harris
838,Bobby,278.77,Duncan
839,Earl,780.70,Walker
840,Anne,269.39,Porter
841,Joseph,458.21,Reyes
842,Ryan,715.53,Martin
843,Ryan,763.32,Owens
844,Theresa,82.74,James
845,Henry,101.85,Rodriguez
846,Jeremy,508.56,Dean
847,Marilyn,691.86,Marshall
848,Brian,562.56,Ross
849,Raymond,758.27,Harris
850,Ronald,153.98,Murphy
851,Terry,145.81,Green
852,Paula,372.42,Richards
853,Norma,12.04,Armstrong
854,Johnny,276.18,Cunningham
855,Angela,567.73,Ryan
856,Michael,552.32,Kennedy
857,Bruce,93.96,Ramos
858,Johnny,5.98,Bradley
859,Phillip,815.54,Alvarez
860,Tammy,153.27,Diaz
861,Howard,442.68,Davis
862,Denise,182.26,Reyes
863,Dennis,111.07,Sanders
864,Gary,707.59,Oliver
865,Robin,17.25,Mendoza
866,Jerry,677.32,Reid
867,Jack,445.84,Matthews
868,Jennifer,785.09,Knight
869,Mildred,997.00,Patterson
870,Jennifer,298.33,Allen
871,Jimmy,747.66,Rogers
872,Amanda,223.31,Weaver
873,Elizabeth,414.55,Austin
874,Louise,745.06,Phillips
875,Karen,916.45,Morales
876,Andrew,546.36,Olson
877,Gary,594.93,Sullivan
878,Jerry,929.87,Marshall
879,Doris,271.31,Rivera
880,Randy,331.32,Perry
881,Anthony,796.07,Gomez
882,Albert,222.91,Garcia
883,Sandra,76.02,James
884,Amanda,256.16,Bell
885,Ryan,217.74,Greene
886,Brian,905.26,Weaver
887,Bonnie,671.38,Alvarez
888,Louise,156.14,Miller
889,Ronald,368.81,Rodriguez
890,Kelly,570.37,Bell
891,Charles,806.39,Rose
892,Gary,896.35,Williams
893,Gregory,948.49,Hanson
894,Peter,818.41,Lynch
895,Ruby,149.29,Ward
896,Johnny,147.43,Fuller
897,Julia,950.91,Hudson
898,Michael,169.27,Ellis
899,Shirley,410.08,Arnold
900,Deborah,195.81,Ray
901,Jack,811.41,Phillips
902,Justin,992.56,Dixon
903,Elizabeth,864.79,Richardson
904,Heather,742.59,Allen
905,Jason,49.87,Mitchell
906,Barbara,775.86,Bishop
907,Walter,43.78,Kelley
908,Jessica,436.31,Sanders
909,Carol,586.83,Fisher
910,Keith,29.76,Ross
911,Frances,223.95,Hughes
912,Kenneth,22.73,Mcdonald
913,Willie,818.61,Hayes
914,Justin,347.23,Morgan
915,Harry,621.15,Ortiz
916,Andrea,369.32,Evans
917,Samuel,829.38,Smith
918,Betty,627.33,Roberts
919,Harry,587.34,Harvey
